Planting_ID,Plant_ID,Plant_season_ID,Plantation_area_ID,Crop_density,Growth_stage_ID,Fertilizer_usage,Pest_pressure,Timestamp
1,1,1,1,11.7439101,1,188.1949578,57.60730814,2025-01-01 08:00:00
1,1,1,2,16.79710124,1,70.96362942,74.73687901,2025-01-01 09:00:00
1,1,1,1,12.65439458,1,191.9760773,1.034478009,2025-01-01 10:00:00
1,1,2,2,10.86436018,3,55.76138848,24.09188793,2025-01-01 11:00:00
1,1,3,1,13.85291005,2,185.2597015,38.81148144,2025-01-01 12:00:00
1,1,2,2,13.47847446,3,135.9290658,82.07341332,2025-01-01 13:00:00
1,1,1,1,13.48761045,1,121.1736596,48.81462558,2025-01-01 14:00:00
1,1,1,2,8.630781822,1,195.7361605,80.12783104,2025-01-01 15:00:00
1,1,2,1,11.26010481,3,73.44697633,89.87019212,2025-01-01 16:00:00
1,1,1,2,11.88543253,1,72.79170148,26.5442576,2025-01-01 17:00:00
1,1,1,1,19.80376704,1,88.35389727,43.01498139,2025-01-01 18:00:00
1,1,1,1,6.024622353,1,162.3957909,65.4292994,2025-01-01 19:00:00
1,1,2,3,7.755604911,3,196.0829711,44.77693669,2025-01-01 20:00:00
1,1,1,2,7.552875738,1,83.06454514,80.62129313,2025-01-01 21:00:00
1,1,3,1,13.52043435,2,78.30839475,91.71888825,2025-01-01 22:00:00
1,1,2,3,14.31222991,3,117.2667607,13.35809839,2025-01-01 23:00:00
1,1,2,3,15.30324364,3,182.0508468,31.42938169,2025-01-02 00:00:00
1,1,2,1,6.886703069,3,74.49385011,14.48341832,2025-01-02 01:00:00
1,1,3,2,8.669389336,2,75.75147165,50.161634,2025-01-02 02:00:00
1,1,3,3,13.41922725,2,87.37678676,21.42755696,2025-01-02 03:00:00
1,1,3,3,13.33118901,2,145.3580505,90.87507422,2025-01-02 04:00:00
1,1,2,1,11.43938114,3,69.95604215,43.7082171,2025-01-02 05:00:00
1,1,2,2,5.261348665,3,177.9535878,37.083929,2025-01-02 06:00:00
1,1,1,3,5.844103097,1,68.95032498,71.06154283,2025-01-02 07:00:00
1,1,2,2,7.674413593,3,56.29101402,66.6865802,2025-01-02 08:00:00
1,1,1,1,13.42027563,1,161.9988809,66.96630853,2025-01-02 09:00:00
1,1,1,3,10.72087131,1,123.9161827,89.94165562,2025-01-02 10:00:00
1,1,2,3,9.28855019,3,186.486851,34.12657848,2025-01-02 11:00:00
1,1,3,3,15.92940372,2,54.46000267,42.57121964,2025-01-02 12:00:00
1,1,2,2,6.141819411,3,123.113695,41.55633193,2025-01-02 13:00:00
1,1,1,1,14.30804881,1,143.3450709,45.57980344,2025-01-02 14:00:00
1,1,1,1,10.64427837,1,112.7879233,32.18107344,2025-01-02 15:00:00
1,1,1,3,15.78996608,1,73.55137622,5.000830207,2025-01-02 16:00:00
1,1,3,2,10.99225132,2,134.2455911,46.72542366,2025-01-02 17:00:00
1,1,1,2,8.588719561,1,127.8065151,2.002447204,2025-01-02 18:00:00
1,1,1,2,19.94017987,1,148.6785351,18.59282309,2025-01-02 19:00:00
1,1,3,3,6.191903208,2,185.991975,2.720019241,2025-01-02 20:00:00
1,1,2,1,7.624250508,3,57.96374034,62.71503007,2025-01-02 21:00:00
1,1,3,2,13.1585299,2,142.7926757,45.73350744,2025-01-02 22:00:00
1,1,2,2,19.66980834,3,162.2816929,13.41556033,2025-01-02 23:00:00
1,1,2,3,17.74771455,3,65.14449899,79.52545134,2025-01-03 00:00:00
1,1,2,1,14.83034665,3,161.6658189,82.17204057,2025-01-03 01:00:00
1,1,1,2,5.545100234,1,74.73261109,86.37193496,2025-01-03 02:00:00
1,1,1,3,7.031841761,1,195.8162787,43.38731405,2025-01-03 03:00:00
1,1,1,3,14.08081222,1,181.7079579,90.09073039,2025-01-03 04:00:00
1,1,3,3,8.775049596,2,130.2798842,98.9995425,2025-01-03 05:00:00
1,1,3,2,6.765426687,2,87.01920348,88.55246717,2025-01-03 06:00:00
1,1,3,2,18.05209272,2,57.79366972,12.79724519,2025-01-03 07:00:00
1,1,2,3,5.724663012,3,151.9882859,51.5098237,2025-01-03 08:00:00
1,1,1,2,15.95151762,1,98.02721357,11.01051035,2025-01-03 09:00:00
1,1,1,3,14.05450932,1,90.25123166,41.56000215,2025-01-03 10:00:00
1,1,2,1,12.27730547,3,126.1635102,98.53192199,2025-01-03 11:00:00
1,1,1,3,9.94380588,1,130.240244,25.96809288,2025-01-03 12:00:00
1,1,1,2,15.13471981,1,101.3128211,70.62633952,2025-01-03 13:00:00
1,1,3,3,13.66558456,2,124.0887163,14.43284132,2025-01-03 14:00:00
1,1,1,2,11.00629674,1,141.5117273,99.43025732,2025-01-03 15:00:00
1,1,3,3,7.120670963,2,63.70842567,10.9532296,2025-01-03 16:00:00
1,1,1,2,6.262142767,1,58.53478541,51.31985891,2025-01-03 17:00:00
1,1,3,2,11.3465998,2,131.4792528,70.21030642,2025-01-03 18:00:00
1,1,1,3,13.83595601,1,53.32331105,59.36519076,2025-01-03 19:00:00
1,1,2,2,5.407176817,3,53.44535619,8.70053174,2025-01-03 20:00:00
1,1,3,3,18.36459059,2,90.09117543,10.44753609,2025-01-03 21:00:00
1,1,2,2,14.36741042,3,67.82375808,1.210089241,2025-01-03 22:00:00
1,1,3,1,14.74598932,2,59.54664821,28.63624518,2025-01-03 23:00:00
1,1,3,3,7.303002128,2,134.007658,13.44538085,2025-01-04 00:00:00
1,1,2,3,11.81226411,3,170.6494647,47.84099194,2025-01-04 01:00:00
1,1,1,2,17.87947384,1,60.55799294,66.87910668,2025-01-04 02:00:00
1,1,3,3,7.322028073,2,71.62588155,23.52125626,2025-01-04 03:00:00
1,1,3,1,7.040859782,2,161.1511193,66.47197176,2025-01-04 04:00:00
1,1,1,1,13.75751935,1,139.1690175,32.2914818,2025-01-04 05:00:00
1,1,3,1,15.47655842,2,188.1843623,41.72254046,2025-01-04 06:00:00
1,1,3,2,7.149445704,2,92.15260517,31.22251249,2025-01-04 07:00:00
1,1,3,3,11.31434753,2,108.0334069,85.20503231,2025-01-04 08:00:00
1,1,2,2,5.511130496,3,127.8709881,15.56057336,2025-01-04 09:00:00
1,1,1,3,14.3543844,1,177.6444672,30.00596365,2025-01-04 10:00:00
1,1,1,1,15.38555483,1,110.1841969,22.1768394,2025-01-04 11:00:00
1,1,1,1,11.47911118,1,104.4842425,47.62393833,2025-01-04 12:00:00
1,1,2,2,7.382253534,3,98.5371976,81.30788104,2025-01-04 13:00:00
1,1,3,2,16.5694817,2,162.1283294,85.82209095,2025-01-04 14:00:00
1,1,2,3,18.79716621,3,198.3201607,20.12295687,2025-01-04 15:00:00
1,1,1,1,17.06814614,1,82.95231415,62.13732416,2025-01-04 16:00:00
1,1,2,1,7.407164229,3,135.7377885,74.64723653,2025-01-04 17:00:00
1,1,2,3,17.63028252,3,94.50164703,6.947564227,2025-01-04 18:00:00
1,1,1,3,7.020516362,1,156.715694,99.31161834,2025-01-04 19:00:00
1,1,3,3,8.360750299,2,192.2268997,5.256702169,2025-01-04 20:00:00
1,1,2,1,17.25455607,3,80.39865992,12.7260354,2025-01-04 21:00:00
1,1,3,3,16.18598717,2,194.8462495,92.52934573,2025-01-04 22:00:00
1,1,1,1,5.183824358,1,197.8829585,79.06296966,2025-01-04 23:00:00
